time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-10-03T09:45:56.286Z,-19.1495,169.1546,142.52,4.9,mww,,54,3.798,0.57,us,us6000fraj,2021-10-03T10:06:54.040Z,"45 km NNW of Isangel, Vanuatu",earthquake,5.5,5.3,0.098,10,reviewed,us,us
2021-10-03T08:49:38.554Z,34.3564,141.6277,10,4.6,mb,,134,1.953,0.48,us,us6000frae,2021-10-03T09:41:44.040Z,"148 km SE of Katsuura, Japan",earthquake,7.6,1.9,0.073,55,reviewed,us,us
2021-10-03T08:38:34.025Z,-36.8932,-74.1431,10,4.3,mwr,,117,2.315,0.6,us,us6000fra1,2021-10-03T09:11:29.040Z,"83 km WNW of Arauco, Chile",earthquake,5,1.9,,,reviewed,us,guc
2021-10-03T07:15:10.382Z,37.5294,30.3549,9.58,4.2,mb,,40,0.336,0.71,us,us6000fr9q,2021-10-03T11:51:02.775Z,"Western Turkey",earthquake,3.8,6.1,0.14,14,reviewed,us,us
2021-10-03T06:19:57.132Z,38.0214,73.1878,44.76,4.7,mb,,124,2.259,0.52,us,us6000fr9d,2021-10-03T07:13:49.040Z,"70 km WSW of Murghob, Tajikistan",earthquake,9.6,8.1,0.088,39,reviewed,us,us
2021-10-03T06:07:28.887Z,-20.5104,-70.7746,16.68,3.7,ml,,238,0.559,0.32,us,us6000fr9b,2021-10-03T21:51:56.339Z,"73 km WSW of Iquique, Chile",earthquake,5,10.8,0.074,24,reviewed,us,us
2021-10-03T05:49:10.460Z,-33.6638,-179.3408,44.85,5.1,mww,,56,4.336,1.07,us,us6000fr98,2021-10-03T06:12:02.040Z,"south of the Kermadec Islands",earthquake,5.3,5.1,0.093,11,reviewed,us,us
2021-10-03T02:48:23.747Z,64.4317,-146.709,7,3.5,ml,,,,0.79,ak,ak021cohszox,2021-10-03T10:21:08.050Z,"8 km NW of Harding-Birch Lakes, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2021-10-03T01:58:09.215Z,31.71802251,-104.0190971,7.622631836000001,3,ml,20,77,0.01730846772,0.2,tx,tx2021tipg,2021-10-03T03:07:49.293Z,"39 km W of Mentone, Texas",earthquake,1.415185787,0.825228403,0.2,37,reviewed,tx,tx
2021-10-03T01:48:10.568Z,31.70650587,-104.0265794,7.828295898,3.3,ml,18,56,0.0260570502,0.2,tx,tx2021tiox,2021-10-03T02:30:37.936Z,"40 km W of Mentone, Texas",earthquake,0.8005274166,0.5346245384,0.2,36,reviewed,tx,tx
2021-10-03T01:45:57.661Z,51.2583,-178.0205,25.9,3.6,ml,,,,0.46,ak,ak021coh6zfx,2021-10-03T20:51:57.505Z,"118 km SW of Adak, Alaska",earthquake,,1.8,,,reviewed,ak,ak
2021-10-03T01:39:18.491Z,31.71194753,-103.9811004,7.596923828000001,4.1,ml,23,76,0.0674059942,0.3,tx,tx2021tiop,2021-10-04T01:41:33.724Z,"36 km W of Mentone, Texas",earthquake,1.5649083429999997,1.788440503,0.1,36,reviewed,tx,tx
2021-10-03T01:34:37.390Z,44.2856,-115.0273,10,2.8,ml,,66,0.848,0.62,us,us6000fr81,2021-10-03T02:37:20.040Z,"10 km NW of Stanley, Idaho",earthquake,2.5,2,0.046,62,reviewed,us,us
2021-10-03T01:34:17.218Z,43.9287,148.2937,40.96,4.5,mb,,170,4.116,0.72,us,us6000fr86,2021-10-03T02:31:49.040Z,"127 km E of Shikotan, Russia",earthquake,10.2,7,0.075,55,reviewed,us,us
